Player,HOFm,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Mike McCoy\McCoMi21,19.28,0,0,0,7,1970,1980,44,132,97,1,5,0,5,,,,,,,
Star Lotulelei\LotuSt00,19.18,0,0,0,7,2013,2019,44,108,107,1,0,0,0,7,13.5,177,105,72,32,27
David Logan\LogaDa20,18.95,0,0,0,7,1979,1987,43,112,103,1,27,1,27,,28.3,,,,,
Jim Colvin\ColvJi20,18.93,0,0,0,6,1960,1967,43,103,84,0,0,0,0,,,,,,,
Corey Liuget\LiugCo00,18.88,0,0,0,7,2011,2020,45,124,104,0,0,0,0,20,26.0,291,219,72,66,57
Daryl Gardener\GardDa20,18.75,0,0,0,7,1996,2003,43,102,94,1,-1,0,0,6,19.0,311,213,98,32,
Chartric Darby\DarbCh20,18.70,1,0,0,4,2001,2009,33,114,72,0,0,0,0,1,13.5,208,155,53,33,12
Russell Davis\DaviRu20,18.70,1,0,0,5,1999,2007,33,114,83,0,0,0,0,12,11.5,286,217,69,22,3
Cleveland Elam\ElamCl00,18.70,0,1,2,2,1975,1979,31,62,37,0,0,0,0,,,,,,,
Bill Brundige\BrunBi20,18.65,0,0,0,5,1970,1977,42,107,75,0,0,0,0,,,,,,,
Travis Kirschke\KirsTr20,18.45,2,0,0,2,1997,2009,29,169,43,0,0,0,0,0,13.0,294,185,109,27,20
Red Bryant\BryaRe99,18.38,1,0,0,4,2008,2015,33,86,71,2,25,1,20,7,4.5,148,96,52,14,15
Reggie Kinlaw\KinlRe20,18.38,2,0,0,4,1979,1986,29,98,57,0,0,0,0,,2.0,,,,,
Chuck Hinton\HintCh20,18.33,0,0,0,8,1964,1972,42,123,103,2,15,1,8,,,,,,,
Brad Culpepper\CulpBr20,18.15,0,0,0,5,1992,2000,41,131,83,0,0,0,0,1,34.0,316,226,90,10,
Brodrick Bunkley\BunkBr20,18.10,0,0,0,7,2006,2014,41,130,101,0,0,0,0,9,8.5,242,171,71,28,15
Danny Shelton\ShelDa01,18.03,1,0,0,5,2015,2020,34,87,72,0,0,0,0,2,5.5,247,126,121,16,18
Ron Carpenter\CarpRo20,17.98,0,0,0,6,1970,1976,41,97,86,0,0,0,0,,,,,,,
Aubrayo Franklin\FranAu20,17.85,0,0,0,7,2003,2013,41,142,94,1,10,0,10,10,4.0,256,195,61,20,7
Travis Hall\HallTr20,17.85,0,0,0,6,1995,2005,41,150,93,0,0,0,0,13,42.0,455,349,106,36,
Brian Young\YounBr20,17.73,0,0,0,6,2000,2008,40,123,89,1,25,0,25,9,22.5,309,230,79,36,21
Jerry Rush\RushJe20,17.68,0,0,0,5,1965,1971,40,89,65,0,0,0,0,,,,,,,
Roderick Coleman\ColeRo99,17.60,0,0,1,4,1999,2007,37,109,70,1,39,1,39,32,58.5,271,220,51,71,14
Montae Reagor\ReagMo20,17.10,1,0,0,3,1999,2007,30,99,46,1,31,0,31,7,17.0,173,132,41,29,5
Darwin Walker\WalkDa21,17.08,0,0,0,5,2000,2008,39,109,84,1,6,0,6,16,28.5,212,167,45,38,11
John Browning\BrowJo24,17.05,0,0,0,5,1996,2005,39,121,96,1,0,0,0,10,27.5,307,252,55,35,
Dick Evey\EveyDi20,17.05,0,0,0,7,1964,1971,39,102,83,2,21,0,15,,,,,,,
